'@onyxlorenzoni Falou o criminoso de caixa 2 ', 'negative'
'Bogo faz diagnósticos sobre Educação #DebateNaBandRS como se o PSB não fosse base dos dois últimos gpvernos da dobradinha MDB PSDB', 'negative'
'@EduardoLeite_ o RS está quebrado em todos os setores uma decadencia generalizada pessoas morando em barracas nas cidades gente pedindo comida nos mercados lojas fechando placas de aluga-se tomando conta das cidades q estão sem infra e sem perspectiva Não acreditem em MENTIROSOS', 'negative'
'Fake news que o @PTdoRS deixou o estado quebrado bem respondida pelo @EdegarPretto O @EduardoLeite_ deixou economia quebrada com um recuo de 38 e o cara @partidonovo30 segue mentindo sobre culpa ser PT #LulaOlivioEdegarRuas #LulaOlivioPrettoRuas #DebateNaBandRS', 'negative'
'escolas RS não tem pátio para nossas crianças 14 das escolas não tem banheiro ou eles não funcionam Nossas crianças precisam de uma merenda escolar de qualidade elas tem que chegar e ter um bom café da manhã'' @EdegarPretto #DebatenaBandRS #LulaOlivioPrettoRuas', 'negative'
'O Edegar falando Brizola ele que lave boca Pro petismo trabalhista só vale depois de morto #DebateNaBandRS', 'negative'
'Onix @EduardoLeite_ e @Heinzeoficial fazendo stand comedy #DebatenaBandRS', 'negative'
'@EduardoLeite_ Com dinheiro da pandemia né', 'negative'
'🤡 #DebateNaBandRS ', 'negative'
'@EdegarPretto respondendo um idiota…', 'negative'
'Esse debate está fazendo chegar à conclusão de que eu não votar Edegar Pretto de jeito nenhum #DebateNaBandRS', 'negative'
'Jobim disse que todo mundo quer resolver seu problema entregando tudo quebrado pro próximo Diz que quer ser primeiro governo liberal da história RS Edegar disse que hoje há filas intermináveis porque Leite prefere se vangloriar e que não aumentará impostos #DebateNaBandRS', 'negative'
'@EduardoLeite_ rato', 'negative'
'Processa ele por favor @onyxlorenzoni ', 'negative'
'@EduardoLeite_ Já devolveu o dinheiro da aposentadoria Sem desvio hein', 'negative'
'Debate estacionamento da RBS era mais legal #DebateNaBandRS', 'negative'
'@EduardoLeite_ Você lacrou supermercado Pessimo', 'negative'
'PR @jairbolsonaro #LULALADRÃO @augustosnunes @Rconstantino @AnaPaulaVolei @alexandregarcia @realpfigueiredo @GFiuza_Oficial @onyxlorenzoni @Biakicis @CarlaZambelli38 @carlosjordy @PaolaSDaniel @leandroruschel @cristinagraeml @CarinaBelome @AdrillesRJorge @kimpaim @taoquei1 ', 'negative'
'@onyxlorenzoni Fazer caixa 2 é coisa de gente de bem né só se pedir desculpas', 'negative'
'@EduardoLeite_ SAFADO MENTIROSO BARALHO desculpem o baixo calão mas essa FRUTA É DE PLASTICO não tem sumo se é q entendem É apenas uma fraude gerada pelas ELITES diante de um povinho TROUXA q gosta de aparencia e falamansa Entendam povo VCS SÃO ROUBADOS tds os dias por eles', 'negative'
'Acho nada ver querer vender o Palácio das Hortênsias Só acho #DebateNaBandRS', 'negative'
'E reforma ensmédio Temer e o currículo gaúcho LeiteEscolas estaduais estão bagunça e o modelo neoliberal Leite demonstrou-se centralizadorburocrático autoritárioEstudantes e professores doentesMuito dinheiro distribuído entre empresas privadas #DebatenaBandRS', 'negative'
'@najladiniz Não suportei ver o capacho @onyxlorenzoni com implante capilar que nós devemos ter pago', 'negative'
'@RicardoJobim30 enquadra @EdegarPretto sobre herança maldita governo Tarso #mbl #DebateNaBandRS', 'negative'
'Pretto vcs não irão voltar presidência nem ao governo estado Vcs deixaram o Brasil quebrado pq roubaram muito #DebateNaBandRS', 'negative'
'Curioso o Onyx falando em narrativas na pandemia lembro bem que foi oposição quem lutou para ter 600 reais de auxílio o desgoverno Bolsonaro qual ele faz parte queria dar 200 reais #DebateNaBandRS', 'negative'
'@EduardoLeite_ Falou o menino que lacrou corredores em mercados proibindo o consumidor de comprar em meio pandemia sem comprovação científica', 'negative'
'@ferreropedroo @mariadorosario @EdegarPretto Gado Vc sabe que nunca o comunismo foi implantado Brasil', 'negative'
'@marcelvanhattem @parm expulsar ele Novo', 'negative'
'2 blocos já #DebateNaBandRS e até agora NENHUM candidato falou dxs trabalhadorxs seja de pequenas ou médias empresas ou de multinacionais até agora nenhum tem meu voto', 'negative'
'@EduardoLeite_ porque vc não paga o piso salarial dos professores RS', 'negative'
'#DebateNaBandRS Acompanhando o debate até parece que Heinze e Onix não apoiaram Leite na sua política de ajuste fiscal Nojo', 'negative'
'80 das Escolas Públicas RS estão sem banheiro ou com banheiros que não funcionam'' denuncia Edegar Pretto Eu não acredito que os Gaúchos e Gaúchas de coragem queiram manter o Leite Governo #LulaOlivioPrettoRuas #DebateNaBandRS', 'negative'
'Quem defende educação domiciliar como @TrzeciakDaniel o partido @EduardoLeite_ o @onyxlorenzoni e o @Heinzeoficial governo @jairbolsonaro é contra escola é contra o filho trabalhador tendo chance de crescer e estudar #LulaOlivioPrettoRuas #DebateNaBandRS', 'negative'
'Heinze só falta colocar mais um óculos na cabeça tá perdido Leite na defensiva acanhado e com vergonha estelionato comettidonovo30 @RicardoJobim30 @pauloganime @ViniciusPoit @RomeuZema Zema decepcionou deviaido contra o povo gaúcho Novo e PSC são os tentáculos neoliberalismo deplorável @VieiraPDT é um oásis deserto #DebateNaBandRS', 'negative'
'Uma chatice os candidatos falando da região sul e governo federal e se esquecendo de que são candidatos ao Governo Estado Rio Grande Sul #governarparaors #nãogovernempararegiões #nãofalemdegovernoquenãofoioseu #nãoqueremospromessas #queremosatitudes #DebateNaBandRS', 'negative'
'O Rio Grande Sul está com os piores índices na Educação o @EdegarPretto foi lá e macetou Nós já governamos o estado com Olívio Dutra nosso vice é Pedro Ruas pai trabalhismo'' vamos valorizar o trabalhador #DebateNaBandRS #LulaOlivioEdegarRuas #LulaOlivioPrettoRuas ', 'negative'
'@PTpoa @EdegarPretto @LulaOficial @dilmabr Isto se vcs não voltarem em outra lava jato Se cúpula não voltar toda ser presa', 'negative'
'Mais outra pisada de bola da Bandeirantes @BandJornalismo Deveria todos os estados que estão com o debate agora estarem aí vivo YouTube Muitos moram ou estão fora seu estado de origem #DebateNaBandBA #DebateNaBandmg #DebateNaBandRS #DebateNaBandRJ #DebateNaBandsp', 'negative'
'O Jobim não é político mas sim vendedor dos bens Estado #DebateNaBandRS', 'negative'
'#DebateNaBandRS O @EdegarPretto mostra que Leite é Sartori deixaram Educação Quebrada 18 das escolas nem banheiro decente tem E muitos funcionários de escola não ganham nem o Salário Mínimo Com #LulaOlivioEdegarRuas Educação vai voltar ser bem tratada #DebateNaBand', 'negative'
'@caiofbritto @EdegarPretto Exatamente quem são os que defendem ladroes Tipo o lula larápio', 'negative'
'Eduardo Leite Onyx Lorenzoni Luís Carlos Heinze Todos fazem parte mesmo grupo que vêm desgovernando o RS e o Brasil Quem busca mudança de verdade mudança pra melhor vota Edegar Pretto candidato @LulaOficial #LulaOlivioEdegarRuas #DebateNaBandRS ', 'negative'
'@ferreropedroo @mariadorosario @EdegarPretto Lavar banheiro dos americanos só pode ser um derrotado', 'negative'
'@DamacenoMauro @EdegarPretto Eles estão loucos Mentem como se não soubéssemos verdade', 'negative'
'@paularosiska Quando vi o vigarista @onyxlorenzoni aparecer falando asqueroso qual ele era capacho troquei para o show Caetano ', 'negative'
'@ferreropedroo @mariadorosario @EdegarPretto Gado maior economia da América Latina Éramos 6 mundo era pt bolsonaro elevou 10kkkk', 'negative'
'#DebateNaBandRS ''Discordo candidato Onyx sobre atuação governo na pandemia Primeiro quero solidarizar com 40 mil famílias gaúchas que perderam familiares responsabilidade é sim de Bolsonaro negacionista Apesar dele o SUS ajudou de forma admirável população', 'negative'
'Debate sem candidatas mulheres Candidatos homens falando sobre o que é melhor para mulheres Mulheres 🤡 #debatenabandRS #debatenabandSP', 'negative'
'Provavelmente #fakenews #DebateNaBandRS como existiria uma escola sem banheiro Pietro esta jogando como petista sabe mentindo ', 'negative'
'renúncia Leite tem que ser pauta dominante Esse cara não pode ter chance de disputar o segundo turno #DebateNaBandRS', 'negative'
'Ô leite se vangloria de superávit e não paga reposição salarial dos funcionários públicos @EdegarPretto 2022 BOOOOOOOOOOOOO', 'negative'
'gente também não entende como está sete anos sem reposição viu @EdegarPretto #DebateNaBandRS ', 'negative'
'@JoaoDilkin @EduardoLeite_ Não sei da onde ele deixou Pelotas na mesma e colocou uma pior que ele', 'negative'
'Edegar Pretto o poste gaúcho ex-condenado falando em acabar com fome das crianças em fase escolar Ué O chefe dele não tinha acabado com fome país 🤡 #DebateNaBandRS', 'negative'
'Mais uma @EdegarPretto na Band mais de 80 das escolas gaúchas não têm pátio adequado para recreação Faremos um pesado investimento na educação pública valorizando professores e servidores'' #LulaOlivioEdegarRuas #DebateNaBand #RSQueOPovoQuer #EquipeValdeci', 'negative'
'@ferreropedroo @mariadorosario @EdegarPretto O ladrão amiguinho de bolsonaro que não paga os impostos Kkkk', 'negative'
'@EduardoLeite_ Desertor', 'negative'
'O #DebateNaBandRS está mais parecendo um fraterno encontro entre neoliberais e filhotes da ditadura – como dizia o Dr Brizola @VieiraPDT é um oásis nesse deserto Merece que o povo gaúcho lhe dê chance de mudar o RS', 'negative'
'@EduardoLeite_ Vai fora da vida pública…', 'negative'
'@EduardoLeite_ Só se investimento em sua própria figura ', 'negative'
'@Heinzeoficial @bandrs E já contando mentira', 'negative'
'@SaberVital2 @EduardoLeite_ Fique em casa', 'negative'
'Pietro é um boneco de ventríloquo #DebateNaBandRS', 'negative'
'@EduardoLeite_ 25 secretarias Pqp', 'negative'
'Tarso Genro QUEBROU o estado e na eleição seguinte nem pra segundo turno foi Olivio Dutra só é lembrado por ter mandado Ford pra Bahia O PT é patético RS #DebateNaBandRS', 'negative'
'PR @jairbolsonaro #LULALADRÃO #STFOrganizacaoCriminosa #BarrosoMentiroso @augustosnunes @Rconstantino @AnaPaulaVolei @alexandregarcia @realpfigueiredo @GFiuza_Oficial @onyxlorenzoni @Biakicis @CarlaZambelli38 @carlosjordy @PaolaSDaniel @leandroruschel @cristinagraeml ', 'negative'
'Sempre tem um cara debate que é de um partido que governa algum estado que ele passa o debate inteiro falando tal estado como se fosseo reino de tão tão distante Kkkkkkk #DebateNaBandRS', 'negative'
'Esse cara NOVO tem uma cara altamente s0c4vel #DebateNaBandRS', 'negative'
'O Onix péssimo Está apenas defendendo o indefensável… #DebateNaBandRS', 'negative'
'O Eduardo Leite parece aquela meia que perdeu o outro pé e fica olhando pras meias e perguntando “ meu par é vc” Assim está o Leite olhando pros cargos políticos e perguntando “é vc” Tentou ser presidente não rolou Tá tentando tudo que é cargo Kkk #DebateNaBandRS', 'negative'
'meu deus o Heinze ta LENDO SEM NEM DISFARÇAR #DebateNaBandRS', 'negative'
'O @EduardoLeite_ não tem vergonha de escolher o tema das mulheres para debaterPor 3 anos consecutivos destinou quase nada para políticas públicas para mulheres último ano destinou milhões que nem serão aplicados Em seu governo os feminicidios só cresceram #DebateNaBandRS', 'negative'
'O @Heinzeoficial já foi melhor em debate Parece que tá meio grogue', 'negative'
'#DebateNaBandRS Para quem não conhece o trabalho senador @Heinzeoficial segue um vídeo mostrando os melhores momentos dele onde ele mostra toda sua capacidade de passar vergonha ', 'negative'
'Eduardo Leite é o campeão cinismo se apresenta como moderno mas sua única meta é privatizar o que resta patrimônio público RS #DebateNaBandRS', 'negative'
'Eduardo Leite falando que defende mulheres gaúchas engana quem Não esquecemos Ieda Greice e Emanuele que perderam suas vidas pela irresponsabilidade então prefeito na fiscalização dos contratos de saúde em Pelotas #DebateNaBandRS', 'negative'
'@Heinzeoficial parece atordoado Tem que ficar Senado e apoiar @onyxlorenzoni', 'negative'
'Leite continua com seu discurso “politiqueiro” e nada administrativo #DebateNaBandRS', 'negative'
'O Heinze tá em outro planeta né Disse que 20 anos atrás trabalhou questão Rio Ibicuí com dinheiro governo Bolsonaro que assumiu quatro anos atrás #DebateNaBandRS', 'negative'
'Ricardo Jobim NOVO é o representante da direita inimiga meio-ambiente na disputa ao Governo RS Defendeu que FEPAM deve liberar licenças ambientais mais rápido Ou seja quer uma análise de qualquer jeito sem avaliar riscos e propensa erros graves #DebateNaBandRS', 'negative'
'O desgoverno qual o Onyx faz parte e o Heinze apoia nunca foi bem administrado e prova disso é de como o país está atualmente Esses dois bolsonaristas não vão saber administrar o RS 🤨 #DebateNaBandRS', 'negative'
'Onyx concorda com o negacionismo governo Bolsonaro Achou normal o presidente negar pandemia atrasar vacinas e deixar o povo na mão #DebateNaBandRS #LulaOlivioPrettoRuas', 'negative'
'@EduardoLeite_ Vai mentir em outro lugar entreguistaDeixou os funcionários na miséria Onde esta o desenvolvimento desse Estado Abandonaste o Governo tentando enganar em voos mais altos de onde foste rechaçado e agora voltas querendo retornar ao lugar que abandonasteVai criar vergonha', 'negative'
'Esse novo é o novo Maroni #DebateNaBandRS', 'negative'
'@EduardoLeite_ Mentiroso', 'negative'
'Onyx é histerico #DebateNaBandRS', 'negative'
'Pô @bandrs põe um TP pro Heinze pra ele não passar tanta vergonha lendo papelzinho #DebateNaBandRS', 'negative'
'Dá pra acreditar Leite não #DebateNaBandRS ', 'negative'
'@onyxlorenzoni Ódio exala quem faz caixa 2', 'negative'
'@CentralEleicoes @Heinzeoficial burro', 'negative'
'Eu fico imaginando força que mesmo um mau caráter precisa fazer para fingir acreditar Onyx #DebateNaBandRS ', 'negative'
'@SigaPepeVargas @EdegarPretto Quanto mais não poderia ser feito se não tivessem roubado tanto', 'negative'
'@EduardoLeite_ Foi o senhor que mandou os supermercados fecharem gôndolas porque queria proibir pessoas de comprar o que elas precisavam Quem lhe dá essa autoridade de querer dizer o que o cidadão deve ou não comprar Tirano', 'negative'
'E o candidato que quer reduzir secretarias RS já criou duas secretarias #DebateNaBandRS', 'negative'
'@alucianapeters @bandrs @EduardoLeite_ Ok então quando posto de combustível pague o valor sem redução ICMS pois este governador não quer redução', 'negative'
'Menos da metade dos jovens de 15 19 anos estão matriculados Ensino Médio @EduardoLeite_ que vergonha E ainda quer se reeleger #DebateNaBandRS', 'negative'
'@EduardoLeite_ Pagou contas com dinheiro Governo federal que lhe foi enviado para COVID Fora traidor', 'negative'
'@EduardoLeite_ Viraram crise com dinheiro governo federal Baixou gasolina mas o gás natural foi auturaslargou o governo estado por mais poder e se deu mal aínda MEU FOTO NÃO LEVA', 'negative'
'O candidato @RicardoJobim30 quer transformar o RS em uma empresa privada…cara maluco', 'negative'
'krl esses dois fdp fanboy de minas gerais ta deixando maluco #DebateNaBandRS', 'negative'
'Bah o senador Heinze lendo respostas RESPOSTAS PQP #DebateNaBandRS', 'negative'
'Tem um candidato que tá aproveitando para fazer propaganda da empresa dele o calçados beira rio Tá foda #DebateNaBandRS', 'negative'
'Tchê O #DebateNaBandRS tá terrível não conheço boa parte dis candidatos e maioria deles são da base governo Bolsonaro Filhotes da ditadura', 'negative'
'Que despreparo esses caras que querem ser governador RS e não conseguem nem concluir um raciocínio tempo preconizado num debate #DebateNaBandRS', 'negative'
'RT @JulianaBrizola Leite vendeu CEEE por R 100 mil e nossa população sente consequências cada vento mais forte Vieira defende o p…', 'negative'
'Heinze é o melhor standup Ele viaja na maionese muito e o pior é gente delirante como ele que vão votar nesse boçal Só fala MERDA #DebateNaBandRS', 'negative'
'Heinz vai implementar “entregacao” transporte Ato falho Nao acredito #DebateNaBandRS', 'negative'
'@drschulte_ @EdegarPretto Se roubando ela da todo esse lucro', 'negative'
'@alucianapeters @bandrs @EduardoLeite_ Pra entregar o patrimônio público preço de banana é sim', 'negative'
'@EduardoLeite_ Onde isso Temos piores estradas da União Uma vergonha e um risco aos gaúchos', 'negative'
'Inacreditável os candidatos ao Governo RS simplesmente não sabem LER #DebateNaBandRS', 'negative'
'@vicentebogo @Heinzeoficial Roberto Argenta e @EduardoLeite_ ruins demais #DebateNaBandRS', 'negative'
'gente se espelha modelo Zema o poço realmente não tem fundo 🤡 #DebateNaBandRS', 'negative'
'proposta Jobim para o governo estado é puxar o saco Zema #DebateNaBandRS', 'negative'
'O candidato Novo parece não saber que os partidos sérios fazem convenção pra escolher quem vai concorrer qual cargo #DebateNaBandRS', 'negative'
'Eduardo Leite falando das mulheres e eu só consigo lembrar caso dos exames citopatológicos #DebateNaBandRS', 'negative'
'Bah e essas perguntas compradas #DebateNaBandRS óbvio que essa levantada de bola pra o outro corta é armada Tinha que ser N', 'negative'
'Candidato Novo fala que passou em processo seletivo pra concorrer ao governo E diz que secretaria é cabide de emprego Eu trabalho numa secretaria como concursado Pau cu Novo - ontem hoje e sempre #DebateNaBandRS', 'negative'
'@EduardoLeite_ É obvio q esses comentários favor desse mentecapto desse homem frágil ñ são orgânicos engana que eu gosto', 'negative'
'Onix falando prejuízo Banrisul Como se não fizesse parte projeto dele Leite e qualquer um que só pensa em vender patrimônio público preço de carro popular #DebateNaBandRS', 'negative'
'RT @alxlindenmeyer Precisamos estar atentos contra o entreguismo que é público que pertence ao povo Companheiro @EdegarPretto está…', 'negative'
'Heize mais perdido não tem Onixy só fala bozo e defende o indefensável Leite na defensiva e perdido Dobradinha neoliberal Novo e PSC Viera da Cunha indo bem @EdegarPretto tá surpreendendo #timedoLula #DebateNaBandRS', 'negative'
'O Eduardo Leite dizendo que implementou políticas para proteger Mulheres mas infelizmente teve feminicídios governo dele 🤨 #DebateNaBandRS', 'negative'
'O candidato PSC e Novo em uma tensão sexual discutindo quem vai cortar mais secretaria kkkkk #DebateNaBandRS', 'negative'
'Argenta pergunta ao Jobim cita Romeu Zema puxando-saco e fala que Zema é cliente da calçados Beira-Rio Jobim diz que se espelha governo Zema fala em processo seletivo para secretário de estado #DebateNaBandRS', 'negative'
'O cara que tava defendendo acabar com secretarias tá querendo agora criar secretaria da irrigação obs não para de chover em porto alegre #DebateNaBandRS', 'negative'
'Como um partido nomeia um candidato que não consegue formular perguntas e respostas sem ler #DebateNaBandRS', 'negative'
'Jobim diz que é filho da metade sul sendo de Santa Maria Diz que estado atrapalha quem quer crescer olha o papo coach #DebateNaBandRS', 'negative'
'O Dudu tirando água capote Vc não fez licitações por incompetência Parabéns senador pergunta de quem já tem um projeto #DebateNaBandRS ', 'negative'
